Image Name	Actual Class	Predicted Class	Probabilities
l8_54T_00056.png	54T	54T	0.9956, 0.0001, 0.0001, 0.0042
l8_54T_00116.png	54T	54T	0.8605, 0.0103, 0.0017, 0.1275
l8_54T_00033.png	54T	54T	0.9410, 0.0047, 0.0031, 0.0511
l8_54T_00146.png	54T	17R	0.1750, 0.7788, 0.0194, 0.0269
l8_54T_00014.png	54T	54T	0.9712, 0.0207, 0.0041, 0.0040
l8_54T_00000.png	54T	54T	0.9845, 0.0113, 0.0025, 0.0018
l8_54T_00077.png	54T	54T	0.9536, 0.0197, 0.0024, 0.0243
l8_54T_00091.png	54T	54T	0.8397, 0.0374, 0.0151, 0.1078
l8_54T_00176.png	54T	54T	0.9963, 0.0032, 0.0002, 0.0003
l8_54T_00159.png	54T	54T	0.9900, 0.0069, 0.0010, 0.0020
l8_54T_00135.png	54T	17R	0.1910, 0.3326, 0.2550, 0.2214
l8_54T_00122.png	54T	17R	0.2303, 0.6428, 0.0470, 0.0799
l8_54T_00075.png	54T	54T	0.9612, 0.0314, 0.0032, 0.0043
l8_54T_00022.png	54T	54T	0.9620, 0.0160, 0.0036, 0.0183
l8_54T_00120.png	54T	54T	0.8474, 0.0117, 0.0074, 0.1335
l8_54T_00050.png	54T	54T	0.9789, 0.0029, 0.0011, 0.0171
l8_54T_00034.png	54T	54T	0.9941, 0.0036, 0.0018, 0.0005
l8_54T_00081.png	54T	54T	0.8218, 0.0618, 0.0353, 0.0811
l8_54T_00175.png	54T	54T	0.9989, 0.0008, 0.0002, 0.0001
l8_54T_00072.png	54T	54T	0.9974, 0.0005, 0.0002, 0.0019
l8_54T_00024.png	54T	54S	0.1933, 0.1817, 0.0059, 0.6192
l8_54T_00108.png	54T	54T	0.9992, 0.0002, 0.0000, 0.0006
l8_54T_00166.png	54T	54T	0.9990, 0.0003, 0.0001, 0.0005
l8_54T_00011.png	54T	54T	0.9964, 0.0007, 0.0004, 0.0025
l8_54T_00177.png	54T	54T	0.9982, 0.0006, 0.0003, 0.0010
l8_54T_00153.png	54T	54T	0.4670, 0.1243, 0.0969, 0.3118
l8_54T_00121.png	54T	17R	0.1573, 0.5496, 0.0955, 0.1975
l8_54T_00150.png	54T	54T	0.5475, 0.1942, 0.1099, 0.1484
l8_54T_00140.png	54T	54T	0.9309, 0.0534, 0.0026, 0.0131
l8_54T_00045.png	54T	54T	0.9797, 0.0176, 0.0015, 0.0012
l8_54T_00021.png	54T	54T	0.7773, 0.0915, 0.0094, 0.1218
l8_54T_00154.png	54T	54T	0.9657, 0.0081, 0.0079, 0.0184
l8_54T_00047.png	54T	54T	0.9934, 0.0014, 0.0007, 0.0044
l8_54T_00097.png	54T	54T	0.9915, 0.0010, 0.0005, 0.0070
l8_54T_00138.png	54T	54S	0.2008, 0.2854, 0.1200, 0.3938
l8_54T_00018.png	54T	54T	0.9996, 0.0003, 0.0001, 0.0000
l8_54T_00117.png	54T	54T	0.8541, 0.0093, 0.0021, 0.1345
l8_54T_00145.png	54T	17R	0.1324, 0.8420, 0.0077, 0.0178
l8_54T_00019.png	54T	54T	0.9986, 0.0002, 0.0004, 0.0008
l8_54T_00118.png	54T	54T	0.8132, 0.0328, 0.0230, 0.1309
l8_54T_00029.png	54T	54T	0.9978, 0.0004, 0.0009, 0.0009
l8_54T_00157.png	54T	54T	0.9930, 0.0037, 0.0006, 0.0027
l8_54T_00032.png	54T	54S	0.4494, 0.0365, 0.0256, 0.4885
l8_54T_00082.png	54T	17R	0.0121, 0.9793, 0.0027, 0.0059
l8_54T_00020.png	54T	54T	0.9966, 0.0009, 0.0002, 0.0023
l8_54T_00048.png	54T	54T	0.8582, 0.0505, 0.0379, 0.0534
